ID,total_read_counts_virema,total_read_counts_ditector,sample,start,end,DVG_type
10006_10010,0,1,P1,10006,10010,5cb/sb
1001_1032,0,3,P1,1001,1032,5cb/sb
10036_10064,1,0,P1,10036,10064,5cb/sb
5490_10059,0,1,P1,5490,10059,5cb/sb
10033_10067,0,1,P1,10033,10067,5cb/sb
10116_23035,0,1,P1,10116,23035,5cb/sb
10148_10168,1,1,P1,10148,10168,5cb/sb
10151_10307,0,1,P1,10151,10307,5cb/sb
10155_10303,2,1,P1,10155,10303,5cb/sb
10160_10298,0,1,P1,10160,10298,5cb/sb
10166_10292,2,0,P1,10166,10292,5cb/sb
10174_10280,1,1,P1,10174,10280,5cb/sb
10084_10181,1,0,P1,10084,10181,5cb/sb
10188_10225,1,1,P1,10188,10225,5cb/sb
10191_10222,1,2,P1,10191,10222,5cb/sb
10244_10249,1,0,P1,10244,10249,5cb/sb
10170_10284,0,1,P1,10170,10284,5cb/sb
10169_10285,3,2,P1,10169,10285,5cb/sb
10165_10293,0,1,P1,10165,10293,5cb/sb
10159_10299,0,2,P1,10159,10299,5cb/sb
10300_28900,0,1,P1,10300,28900,5cb/sb
10306_15309,0,1,P1,10306,15309,5cb/sb
10307_23906,1,1,P1,10307,23906,5cb/sb
10150_10308,0,3,P1,10150,10308,5cb/sb
10308_10380,0,1,P1,10308,10380,5cb/sb
10314_10374,0,2,P1,10314,10374,5cb/sb
10315_10359,0,1,P1,10315,10359,5cb/sb
10316_10358,0,1,P1,10316,10358,5cb/sb
10042_10324,0,1,P1,10042,10324,5cb/sb
10311_10363,2,0,P1,10311,10363,5cb/sb
10103_10381,0,1,P1,10103,10381,5cb/sb
10307_10381,2,0,P1,10307,10381,5cb/sb
10098_10386,0,2,P1,10098,10386,5cb/sb
994_1039,2,0,P1,994,1039,5cb/sb
10484_17749,0,1,P1,10484,17749,5cb/sb
10545_10587,0,3,P1,10545,10587,5cb/sb
1058_1068,1,1,P1,1058,1068,5cb/sb
10539_10593,2,0,P1,10539,10593,5cb/sb
10598_10608,1,3,P1,10598,10608,5cb/sb
10654_10888,1,0,P1,10654,10888,5cb/sb
10631_10672,0,1,P1,10631,10672,5cb/sb
1067_5373,0,1,P1,1067,5373,5cb/sb
10680_10709,0,2,P1,10680,10709,5cb/sb
10677_10712,2,0,P1,10677,10712,5cb/sb
10620_10723,0,1,P1,10620,10723,5cb/sb
1053_1073,1,0,P1,1053,1073,5cb/sb
1051_1075,0,1,P1,1051,1075,5cb/sb
10851_23940,0,1,P1,10851,23940,5cb/sb
10855_10866,1,0,P1,10855,10866,5cb/sb
10857_10864,0,1,P1,10857,10864,5cb/sb
10849_10872,0,2,P1,10849,10872,5cb/sb
10856_10882,0,1,P1,10856,10882,5cb/sb
10849_10889,0,1,P1,10849,10889,5cb/sb
10649_10893,0,1,P1,10649,10893,5cb/sb
10897_10922,0,1,P1,10897,10922,5cb/sb
10875_10902,0,1,P1,10875,10902,5cb/sb
10635_10908,0,1,P1,10635,10908,5cb/sb
10612_10930,0,1,P1,10612,10930,5cb/sb
10947_28901,0,1,P1,10947,28901,5cb/sb
10856_10956,0,1,P1,10856,10956,5cb/sb
10961_10987,0,1,P1,10961,10987,5cb/sb
10850_10962,0,1,P1,10850,10962,5cb/sb
10972_10977,0,1,P1,10972,10977,5cb/sb
8946_10979,0,1,P1,8946,10979,5cb/sb
10966_10983,1,0,P1,10966,10983,5cb/sb
11069_11117,0,2,P1,11069,11117,5cb/sb
11075_11111,0,1,P1,11075,11111,5cb/sb
11070_11116,1,0,P1,11070,11116,5cb/sb
11068_11118,2,0,P1,11068,11118,5cb/sb
11207_11245,1,1,P1,11207,11245,5cb/sb
11216_11230,2,2,P1,11216,11230,5cb/sb
11212_11240,0,1,P1,11212,11240,5cb/sb
11203_11249,2,2,P1,11203,11249,5cb/sb
11271_11409,3,2,P1,11271,11409,5cb/sb
11310_11362,2,2,P1,11310,11362,5cb/sb
11311_11361,0,1,P1,11311,11361,5cb/sb
11315_26011,0,1,P1,11315,26011,5cb/sb
11317_11355,2,0,P1,11317,11355,5cb/sb
11325_22522,0,1,P1,11325,22522,5cb/sb
11348_11382,0,1,P1,11348,11382,5cb/sb
1138_27512,0,2,P1,1138,27512,5cb/sb
11277_11403,0,2,P1,11277,11403,5cb/sb
11458_11495,0,1,P1,11458,11495,5cb/sb
1148_1160,0,1,P1,1148,1160,5cb/sb
11455_11498,1,0,P1,11455,11498,5cb/sb
11504_11615,0,1,P1,11504,11615,5cb/sb
11554_11607,0,1,P1,11554,11607,5cb/sb
11565_11579,3,2,P1,11565,11579,5cb/sb
11566_11578,0,2,P1,11566,11578,5cb/sb
11547_11614,1,0,P1,11547,11614,5cb/sb
2658_11820,0,1,P1,2658,11820,5cb/sb
11869_12011,1,1,P1,11869,12011,5cb/sb
11927_11978,0,1,P1,11927,11978,5cb/sb
1192_26718,0,1,P1,1192,26718,5cb/sb
11937_11965,0,2,P1,11937,11965,5cb/sb
11943_12013,0,2,P1,11943,12013,5cb/sb
1196_22115,0,1,P1,1196,22115,5cb/sb
11930_11972,2,0,P1,11930,11972,5cb/sb
11922_11983,1,0,P1,11922,11983,5cb/sb
11986_12101,1,0,P1,11986,12101,5cb/sb
11989_19413,0,1,P1,11989,19413,5cb/sb
11877_12006,1,1,P1,11877,12006,5cb/sb
11939_12017,2,0,P1,11939,12017,5cb/sb
12053_12139,0,3,P1,12053,12139,5cb/sb
11976_12111,0,1,P1,11976,12111,5cb/sb
11975_12112,0,1,P1,11975,12112,5cb/sb
12116_12181,3,1,P1,12116,12181,5cb/sb
12117_12180,0,2,P1,12117,12180,5cb/sb
12118_12179,0,1,P1,12118,12179,5cb/sb
12124_12173,1,0,P1,12124,12173,5cb/sb
